,equity
2018-10-04,104504236.75435035
2018-10-05,102523901.25295942
2018-10-08,101055416.23067656
2018-10-10,97933653.63577762
2018-10-11,95575035.72499871
2018-10-12,96056109.75073057
2018-10-15,97447122.24373822
2018-10-16,97607480.2523155
2018-10-17,97152511.01867762
2018-10-18,96637873.68882492
2018-10-19,96443952.37612681
2018-10-22,96443952.37612681
2018-10-23,95444511.76452883
2018-10-24,95444511.76452883
2018-10-25,95444511.76452883
2018-10-26,95444511.76452883
2018-10-29,95444511.76452883
2018-10-30,95444511.76452883
2018-10-31,95444511.76452883
2018-11-01,95444511.76452883
2018-11-02,95444511.76452883
2018-11-05,95444511.76452883
2018-11-06,95444511.76452883
2018-11-07,95444511.76452883
2018-11-08,95444511.76452883
2018-11-09,95444511.76452883
2018-11-12,95444511.76452883
2018-11-13,95444511.76452883
2018-11-14,95444511.76452883
2018-11-15,95444511.76452883
2018-11-16,95444511.76452883
2018-11-19,95444511.76452883
2018-11-20,95444511.76452883
2018-11-21,95444511.76452883
2018-11-22,95444511.76452883
2018-11-23,95444511.76452883
2018-11-26,95444511.76452883
2018-11-27,95444511.76452883
2018-11-28,95444511.76452883
2018-11-29,95444511.76452883
2018-11-30,95444511.76452883
2018-12-03,95444511.76452883
2018-12-04,95444511.76452883
2018-12-05,95444511.76452883
2018-12-06,95444511.76452883
2018-12-07,95444511.76452883
2018-12-10,95444511.76452883
2018-12-11,95444511.76452883
2018-12-12,95444511.76452883
2018-12-13,95444511.76452883
2018-12-14,95444511.76452883
2018-12-17,95444511.76452883
2018-12-18,95444511.76452883
2018-12-19,95444511.76452883
2018-12-20,95444511.76452883
2018-12-21,95444511.76452883
2018-12-24,95444511.76452883
2018-12-26,95444511.76452883
2018-12-27,95444511.76452883
2018-12-28,95444511.76452883
2019-01-02,95444511.76452883
2019-01-03,95444511.76452883
2019-01-04,95444511.76452883
2019-01-07,95444511.76452883
2019-01-08,95444511.76452883
2019-01-09,95444511.76452883
2019-01-10,95444511.76452883
2019-01-11,95444511.76452883
2019-01-14,95444511.76452883
2019-01-15,95444511.76452883
2019-01-16,95444511.76452883
2019-01-17,95444511.76452883
2019-01-18,95444511.76452883
2019-01-21,95252940.88330278
2019-01-22,95080530.85292041
2019-01-23,96038990.9379443
2019-01-24,96747901.44487607
2019-01-25,95311924.7988463
2019-01-28,94135604.5143975
2019-01-29,94358822.98327938
2019-01-30,96003442.90653709
2019-01-31,91254821.87132534
2019-02-01,90978243.78189978
2019-02-07,90709787.52711906
2019-02-08,91276054.28691572
2019-02-11,90744914.76744094
2019-02-12,90406563.65571707
2019-02-13,90908859.40507744
2019-02-14,90514921.38228719
2019-02-15,90210719.98015799
2019-02-18,89956984.70418115
2019-02-19,88802811.14116362
2019-02-20,90253784.34200975
2019-02-21,89692511.92013508
2019-02-22,88916586.39388454
2019-02-25,88988633.28640707
2019-02-26,88027295.46278471
2019-02-27,89376529.27560586
2019-02-28,87436455.0425703
2019-03-04,89460765.42708799
2019-03-05,91476674.13516253
2019-03-06,95112851.07766782
2019-03-07,93189947.08258736
2019-03-08,92215654.36764865
2019-03-11,92038139.74496956
2019-03-12,92363453.59162661
2019-03-13,91769693.99594994
2019-03-14,96414291.03358719
2019-03-15,94730285.06625305
2019-03-18,94896123.5697817
2019-03-19,95242162.97332135
2019-03-20,95598605.5854444
2019-03-21,95555668.5792552
2019-03-22,96432668.70040272
2019-03-25,97482107.91851497
2019-03-26,98759366.32654922
2019-03-27,97182952.40783024
2019-03-28,97544787.23699348
2019-03-29,94747007.1691181
2019-04-01,93017454.44073154
2019-04-02,92791064.6851879
2019-04-03,92612409.30201912
2019-04-04,104368076.14113736
2019-04-05,113460483.60993552
2019-04-08,110285236.7860691
2019-04-09,107766157.9412053
2019-04-10,109576149.52963029
2019-04-11,107975189.83855903
2019-04-12,102831529.25537986
2019-04-15,101754759.64597356
2019-04-16,102046157.13649923
2019-04-17,102134332.46999338
2019-04-18,100123639.85927416
2019-04-19,100030922.22377208
2019-04-22,99990022.51156868
2019-04-23,101165313.1524588
2019-04-24,100342962.3162485
2019-04-25,99617635.51147059
2019-04-26,96380842.99960949
2019-04-29,95928434.85433736
2019-04-30,96970397.08023545
2019-05-02,96480045.9433748
2019-05-03,95827689.06315497
2019-05-07,95331319.69985521
2019-05-08,93970968.2104592
2019-05-09,93970968.2104592
2019-05-10,93970968.2104592
2019-05-13,93970968.2104592
2019-05-14,93970968.2104592
2019-05-15,93970968.2104592
2019-05-16,93970968.2104592
2019-05-17,93970968.2104592
2019-05-20,93970968.2104592
2019-05-21,93970968.2104592
2019-05-22,93970968.2104592
2019-05-23,93970968.2104592
2019-05-24,93970968.2104592
2019-05-27,93970968.2104592
2019-05-28,93970968.2104592
2019-05-29,93970968.2104592
2019-05-30,93970968.2104592
2019-05-31,93970968.2104592
2019-06-03,93970968.2104592
2019-06-04,93970968.2104592
2019-06-05,93970968.2104592
2019-06-07,93970968.2104592
2019-06-10,93970968.2104592
2019-06-11,93970968.2104592
2019-06-12,93970968.2104592
2019-06-13,93970968.2104592
2019-06-14,93970968.2104592
2019-06-17,93970968.2104592
2019-06-18,93970968.2104592
2019-06-19,93970968.2104592
2019-06-20,93970968.2104592
2019-06-21,93970968.2104592
2019-06-24,93970968.2104592
2019-06-25,93970968.2104592
2019-06-26,93970968.2104592
2019-06-27,93970968.2104592
2019-06-28,93970968.2104592
2019-07-01,93970968.2104592
2019-07-02,93970968.2104592
2019-07-03,93970968.2104592
2019-07-04,93970968.2104592
2019-07-05,93970968.2104592
2019-07-08,93970968.2104592
2019-07-09,93970968.2104592
2019-07-10,93970968.2104592
2019-07-11,93970968.2104592
2019-07-12,93970968.2104592
2019-07-15,93970968.2104592
2019-07-16,93970968.2104592
2019-07-17,93970968.2104592
2019-07-18,93970968.2104592
2019-07-19,93970968.2104592
2019-07-22,93970968.2104592
2019-07-23,93970968.2104592
2019-07-24,93970968.2104592
2019-07-25,93970968.2104592
2019-07-26,93970968.2104592
2019-07-29,93970968.2104592
2019-07-30,93970968.2104592
2019-07-31,93970968.2104592
2019-08-01,93970968.2104592
2019-08-02,93970968.2104592
2019-08-05,93970968.2104592
2019-08-06,93970968.2104592
2019-08-07,93970968.2104592
2019-08-08,93970968.2104592
2019-08-09,93970968.2104592
2019-08-12,93970968.2104592
2019-08-13,93970968.2104592
2019-08-14,93970968.2104592
2019-08-16,93970968.2104592
2019-08-19,93970968.2104592
2019-08-20,93970968.2104592
2019-08-21,93970968.2104592
2019-08-22,93970968.2104592
2019-08-23,93970968.2104592
2019-08-26,93970968.2104592
2019-08-27,93970968.2104592
2019-08-28,93970968.2104592
2019-08-29,93970968.2104592
2019-08-30,93970968.2104592
2019-09-02,93970968.2104592
2019-09-03,93970968.2104592
2019-09-04,93970968.2104592
2019-09-05,93970968.2104592
2019-09-06,93970968.2104592
2019-09-09,93970968.2104592
2019-09-10,93970968.2104592
2019-09-11,93970968.2104592
2019-09-16,93970968.2104592
2019-09-17,93970968.2104592
2019-09-18,93970968.2104592
2019-09-19,93970968.2104592
2019-09-20,93970968.2104592
2019-09-23,93970968.2104592
2019-09-24,93970968.2104592
2019-09-25,93970968.2104592
2019-09-26,93970968.2104592
2019-09-27,93970968.2104592
2019-09-30,93970968.2104592
2019-10-01,93970968.2104592
2019-10-02,93970968.2104592
2019-10-04,93970968.2104592
2019-10-07,93970968.2104592
2019-10-08,93970968.2104592
2019-10-10,93970968.2104592
2019-10-11,93970968.2104592
2019-10-14,93970968.2104592
2019-10-15,93970968.2104592
2019-10-16,93970968.2104592
2019-10-17,93923825.26913252
2019-10-18,93794357.35774338
2019-10-21,99449603.13197963
2019-10-22,102329652.60214406
2019-10-23,102471209.7305566
2019-10-24,103734431.62246346
2019-10-25,92856276.5537824
2019-10-28,92023186.5294515
2019-10-29,91719314.49670196
2019-10-30,92159295.59360652
2019-10-31,95905034.03563248
2019-11-01,96316954.2111448
2019-11-04,98626637.08217931
2019-11-05,100778408.77870803
2019-11-06,94007024.47759226
2019-11-07,95139855.56403159
2019-11-08,93368359.01933917
2019-11-11,88258355.62067598
2019-11-12,89477708.06208238
2019-11-13,86607795.73223771
2019-11-14,83890356.1646668
2019-11-15,82266144.59810969
2019-11-18,85228285.29802452
2019-11-19,83664631.28421693
2019-11-20,78026269.26739462
2019-11-21,77576831.06514743
2019-11-22,76793812.01014857
2019-11-25,78755883.23914826
2019-11-26,79921098.12878658
2019-11-27,80882321.13803
2019-11-28,80459253.6146992
2019-11-29,77813866.90762521
2019-12-02,79931215.38374963
2019-12-03,79381278.10742332
2019-12-04,81224203.19932643
2019-12-05,78141670.75142184
2019-12-06,85920802.26188128
2019-12-09,85149580.56724022
2019-12-10,80180390.52905796
2019-12-11,80610916.29640408
2019-12-12,79499282.42657214
2019-12-13,79615626.22847044
2019-12-16,79002116.12208027
2019-12-17,83098572.1760784
2019-12-18,82914209.52151552
2019-12-19,82348772.50015824
2019-12-20,83486432.76228797
2019-12-23,82147322.5550415
2019-12-24,82573605.16602486
2019-12-26,86016686.41747165
2019-12-27,87985947.36089814
2019-12-30,89188518.05093846
2020-01-02,90560578.54105362
2020-01-03,88926405.12157717
2020-01-06,86819187.88529566
2020-01-07,86358424.74634677
2020-01-08,83712083.82327378
2020-01-09,84144027.83816755
2020-01-10,83247659.7142629
2020-01-13,84141480.85543245
2020-01-14,88971457.6293756
2020-01-15,86650986.5588545
2020-01-16,87389150.66944207
2020-01-17,86064404.30647278
2020-01-20,86475584.34783092
2020-01-21,85538707.06994903
2020-01-22,90656177.55223842
2020-01-23,90874126.50342731
2020-01-28,90362061.68878095
2020-01-29,89368883.96396424
2020-01-30,87428464.33066443
2020-01-31,85262969.19614811
2020-02-03,86574610.38211572
2020-02-04,88196581.95841569
2020-02-05,86026829.16543067
2020-02-06,88769376.68948315
2020-02-07,95757796.15538692
2020-02-10,96181773.66280884
2020-02-11,92425853.76816526
2020-02-12,95650206.2099978
2020-02-13,92798299.83406775
2020-02-14,93546992.35850376
2020-02-17,95482521.90046537
2020-02-18,99139832.52854691
2020-02-19,100693231.64735122
2020-02-20,102665378.60160822
2020-02-21,99540290.73401828
2020-02-24,95501670.9423289
2020-02-25,98140915.72475818
2020-02-26,96882597.52839729
2020-02-27,93933997.24402592
2020-02-28,92042073.06189248
2020-03-02,92797006.25465943
2020-03-03,93485934.35953417
2020-03-04,98572451.4452262
2020-03-05,102974165.74403673
2020-03-06,101596242.8387039
2020-03-09,97859184.6834573
2020-03-10,92316176.87023318
2020-03-11,90775520.66481236
2020-03-12,90775520.66481236
2020-03-13,90775520.66481236
2020-03-16,90775520.66481236
2020-03-17,90775520.66481236
2020-03-18,90775520.66481236
2020-03-19,90775520.66481236
2020-03-20,90775520.66481236
2020-03-23,90775520.66481236
2020-03-24,90775520.66481236
2020-03-25,90775520.66481236
2020-03-26,90775520.66481236
2020-03-27,90775520.66481236
2020-03-30,90775520.66481236
2020-03-31,90775520.66481236
2020-04-01,90775520.66481236
2020-04-02,90775520.66481236
2020-04-03,90775520.66481236
2020-04-06,90775520.66481236
2020-04-07,90775520.66481236
2020-04-08,90775520.66481236
2020-04-09,90775520.66481236
2020-04-10,90775520.66481236
2020-04-13,90775520.66481236
2020-04-14,90775520.66481236
2020-04-16,90775520.66481236
2020-04-17,90775520.66481236
2020-04-20,90775520.66481236
2020-04-21,90775520.66481236
2020-04-22,90775520.66481236
2020-04-23,90775520.66481236
2020-04-24,90775520.66481236
2020-04-27,90775520.66481236
2020-04-28,90775520.66481236
2020-04-29,90775520.66481236
2020-05-04,90775520.66481236
2020-05-06,90775520.66481236
2020-05-07,90775520.66481236
2020-05-08,90775520.66481236
2020-05-11,90775520.66481236
2020-05-12,90775520.66481236
2020-05-13,90775520.66481236
2020-05-14,90775520.66481236
2020-05-15,90775520.66481236
2020-05-18,90775520.66481236
2020-05-19,90775520.66481236
2020-05-20,90775520.66481236
2020-05-21,90775520.66481236
2020-05-22,90775520.66481236
2020-05-25,90775520.66481236
2020-05-26,90775520.66481236
2020-05-27,90775520.66481236
2020-05-28,90775520.66481236
2020-05-29,92089069.91101961
2020-06-01,95266532.42845239
2020-06-02,95383276.46054393
2020-06-03,83704275.53230566
2020-06-04,82469998.08743672
2020-06-05,82405571.7599396
2020-06-08,82656544.62338738
2020-06-09,91166707.32543299
2020-06-10,104666745.69602442
2020-06-11,101524342.13493441
2020-06-12,97871486.95069845
2020-06-15,93176893.2644028
2020-06-16,110905180.35063995
2020-06-17,108237420.16452253
2020-06-18,102532186.8918265
2020-06-19,100465657.47498514
2020-06-22,104197226.62333372
2020-06-23,103592704.84789439
2020-06-24,100733481.94496056
2020-06-25,100029459.4158789
2020-06-26,98385954.77279972
2020-06-29,98868895.31708166
2020-06-30,93412985.43047231
2020-07-01,90141875.22257048
2020-07-02,90475343.82294655
2020-07-03,92308145.63878322
2020-07-06,94254530.6014675
2020-07-07,99127189.55439918
2020-07-08,100352108.77469073
2020-07-09,104142139.25939912
2020-07-10,102719696.48034622
2020-07-13,101165051.8165255
2020-07-14,99994820.76422162
2020-07-15,99710474.43357222
2020-07-16,99560856.99415721
2020-07-17,98190998.12000154
2020-07-20,98059237.71886635
2020-07-21,97668423.891435
2020-07-22,98441104.07774661
2020-07-23,97654926.5563162
2020-07-24,95892092.16668996
2020-07-27,101983511.7851233
2020-07-28,105116401.7054168
2020-07-29,106243886.66671163
2020-07-30,108039260.23794013
2020-07-31,112539319.51155551
2020-08-03,111623948.50863889
2020-08-04,109341096.74465922
2020-08-05,108957490.7600956
2020-08-06,113233874.38254708
2020-08-07,111498638.77394332
2020-08-10,115242618.61519909
2020-08-11,115568638.21932739
2020-08-12,119912276.65265375
2020-08-13,116441695.42599632
2020-08-14,116127986.28694636
2020-08-18,110865491.70556456
2020-08-19,119684741.23871133
2020-08-20,115555187.58957544
2020-08-21,116726790.40892062
2020-08-24,111389310.71547437
2020-08-25,110281225.00755642
2020-08-26,110416511.36420262
2020-08-27,114491898.59050272
2020-08-28,115637707.75401214
2020-08-31,124674158.93433213
2020-09-01,121148225.31401125
2020-09-02,122944499.88513678
2020-09-03,124350697.17439932
2020-09-04,129110115.5003592
2020-09-07,129419029.42085487
2020-09-08,126951818.38316737
2020-09-09,125775085.86223151
2020-09-10,126200192.80971918
