date,ticker,action,price,units_after,reason
2019-10-17,003230,BUY,83600.0,1,ENTRY
2019-10-23,207940,ADD,541808.0,2,ADD_8PCT
2019-10-24,010950,BUY,105500.0,1,ENTRY
2019-10-25,222800,BUY,10275.0,1,ENTRY
2019-10-28,207940,ADD,578898.0,3,ADD_16PCT
2019-10-31,010950,SELL,99700.0,0,MA20_BREAK
2019-10-31,222800,SELL,9038.0,0,MA20_BREAK
2019-10-31,082270,BUY,26050.0,1,ENTRY
2019-11-05,082270,ADD,29550.0,2,ADD_8PCT
2019-11-06,082270,SELL,26200.0,0,STOP_8PCT
2019-11-06,140410,BUY,77407.0,1,ENTRY
2019-11-07,003230,ADD,91900.0,2,ADD_8PCT
2019-11-18,140410,SELL,57913.0,0,MA20_BREAK
2019-11-20,003230,SELL,89700.0,0,MA20_BREAK
2019-11-20,060370,BUY,4138.0,1,ENTRY
2019-11-21,207940,SELL,568715.0,0,MA20_BREAK
2019-11-21,253450,BUY,83400.0,1,ENTRY
2019-11-22,058470,BUY,11953.0,1,ENTRY
2019-11-25,021240,BUY,96500.0,1,ENTRY
2019-11-26,124500,BUY,6000.0,1,ENTRY
2019-11-27,060370,ADD,4607.0,2,ADD_8PCT
2019-11-27,253450,SELL,76000.0,0,MA20_BREAK
2019-11-28,124500,ADD,6730.0,2,ADD_8PCT
2019-11-29,060370,SELL,3866.0,0,STOP_8PCT
2019-11-29,021240,SELL,89600.0,0,MA20_BREAK
2019-11-29,124500,ADD,7210.0,3,ADD_16PCT
2019-11-29,237690,BUY,24700.0,1,ENTRY
2019-12-04,237690,ADD,26800.0,2,ADD_8PCT
2019-12-05,124500,SELL,6590.0,0,STOP_8PCT
2019-12-05,082270,BUY,31550.0,1,ENTRY
2019-12-06,082270,ADD,41000.0,2,ADD_8PCT
2019-12-09,082270,ADD,38350.0,3,ADD_16PCT
2019-12-10,082270,SELL,33200.0,0,STOP_8PCT
2019-12-10,000500,BUY,19107.0,1,ENTRY
2019-12-11,029780,BUY,38450.0,1,ENTRY
2019-12-27,000500,SELL,18777.0,0,MA20_BREAK
2019-12-27,029780,SELL,38550.0,0,MA20_BREAK
2019-12-27,032350,BUY,14150.0,1,ENTRY
2019-12-30,237690,ADD,29800.0,3,ADD_16PCT
2020-01-02,058470,SELL,12434.0,0,MA20_BREAK
2020-01-02,090430,BUY,207500.0,1,ENTRY
2020-01-06,237690,SELL,27650.0,0,MA20_BREAK
2020-01-06,131290,BUY,15750.0,1,ENTRY
2020-01-07,096530,BUY,16283.0,1,ENTRY
2020-01-08,000990,BUY,28950.0,1,ENTRY
2020-01-17,096530,SELL,15605.0,0,MA20_BREAK
2020-01-17,012510,BUY,87200.0,1,ENTRY
2020-01-23,090430,SELL,212500.0,0,MA20_BREAK
2020-01-23,232140,BUY,4950.0,1,ENTRY
2020-01-28,032350,SELL,13400.0,0,MA20_BREAK
2020-01-28,131970,BUY,34366.0,1,ENTRY
2020-01-30,131290,SELL,15350.0,0,MA20_BREAK
2020-01-30,000990,SELL,28850.0,0,MA20_BREAK
2020-01-31,232140,SELL,4440.0,0,STOP_8PCT
2020-01-31,290650,BUY,13150.0,1,ENTRY
2020-02-04,237690,BUY,31000.0,1,ENTRY
2020-02-05,196170,BUY,22334.0,1,ENTRY
2020-02-18,237690,SELL,28250.0,0,MA20_BREAK
2020-02-18,196170,ADD,27090.0,2,ADD_8PCT
2020-02-24,131970,SELL,34366.0,0,MA20_BREAK
2020-02-24,290650,ADD,16333.0,2,ADD_8PCT
2020-02-27,012510,SELL,90900.0,0,MA20_BREAK
2020-02-27,290650,ADD,16667.0,3,ADD_16PCT
2020-02-28,196170,SELL,24059.0,0,MA20_BREAK
2020-03-05,237690,BUY,35050.0,1,ENTRY
2020-03-10,290650,SELL,16500.0,0,MA20_BREAK
2020-03-11,237690,SELL,30300.0,0,MA20_BREAK
2020-05-28,127120,BUY,5801.0,1,ENTRY
2020-05-29,290650,BUY,38433.0,1,ENTRY
2020-06-01,127120,SELL,5200.0,0,STOP_8PCT
2020-06-01,290650,ADD,42533.0,2,ADD_8PCT
2020-06-01,068760,BUY,91432.0,1,ENTRY
2020-06-02,085660,BUY,24601.0,1,ENTRY
2020-06-03,068760,ADD,99523.0,2,ADD_8PCT
2020-06-03,085660,SELL,19893.0,0,STOP_8PCT
2020-06-03,082740,BUY,4393.0,1,ENTRY
2020-06-04,290650,SELL,38833.0,0,STOP_8PCT
2020-06-04,011200,BUY,5520.0,1,ENTRY
2020-06-05,003090,BUY,25500.0,1,ENTRY
2020-06-09,082740,SELL,4040.0,0,STOP_8PCT
2020-06-09,003090,ADD,28300.0,2,ADD_8PCT
2020-06-15,011200,SELL,4750.0,0,MA20_BREAK
2020-06-15,174900,BUY,36750.0,1,ENTRY
2020-06-29,068760,SELL,104460.0,0,MA20_BREAK
2020-06-30,003090,SELL,27200.0,0,MA20_BREAK
2020-06-30,319660,BUY,13375.0,1,ENTRY
2020-07-01,174900,SELL,34900.0,0,MA20_BREAK
2020-07-01,066970,BUY,30966.0,1,ENTRY
2020-07-02,137400,BUY,14000.0,1,ENTRY
2020-07-03,066970,ADD,33470.0,2,ADD_8PCT
2020-07-03,112610,BUY,21115.0,1,ENTRY
2020-07-16,319660,SELL,13250.0,0,MA20_BREAK
2020-07-16,066970,ADD,37221.0,3,ADD_16PCT
2020-07-23,066970,SELL,34672.0,0,MA20_BREAK
2020-07-23,112610,ADD,32787.0,2,ADD_8PCT
2020-07-23,196170,BUY,102875.0,1,ENTRY
2020-07-24,112610,ADD,31269.0,3,ADD_16PCT
2020-08-14,196170,SELL,96258.0,0,MA20_BREAK
2020-08-14,178320,BUY,23430.0,1,ENTRY
2020-08-18,178320,SELL,20676.0,0,MA20_BREAK
2020-08-18,127120,BUY,17141.0,1,ENTRY
2020-08-21,112610,SELL,37010.0,0,MA20_BREAK
2020-08-21,127120,ADD,21402.0,2,ADD_8PCT
2020-08-21,066570,BUY,90300.0,1,ENTRY
2020-08-24,137400,ADD,19050.0,2,ADD_8PCT
2020-08-24,127120,SELL,18352.0,0,STOP_8PCT
2020-08-24,034220,BUY,13957.0,1,ENTRY
2020-08-25,137400,ADD,19200.0,3,ADD_16PCT
2020-08-31,066570,SELL,84200.0,0,MA20_BREAK
2020-08-31,100090,BUY,16050.0,1,ENTRY
2020-09-23,137400,SELL,23700.0,0,MA20_BREAK
2020-09-23,100090,SELL,17600.0,0,MA20_BREAK
2020-09-23,097230,BUY,10200.0,1,ENTRY
2020-09-24,034220,SELL,13957.0,0,MA20_BREAK
2020-09-25,032820,BUY,1415.0,1,ENTRY
2020-09-28,097230,SELL,8450.0,0,MA20_BREAK
2020-09-29,005850,BUY,14150.0,1,ENTRY
